id,text
1,@realbacongains The worst <f0><U+009F><U+0091><U+008E> hang in there dude.
2,RT @yonewt: Do not take HUMIRA® if you have:
3,@PrincessBravato Considering the Humira I take is $4
4,RT @Duke_GI_: EMA recommends approval of Humira #biosimilar Imraldi https://t.co/y3QriqHBGb
5,@amyklobuchar @US_FDA Humira &amp; Remicaid prices are out of reach &amp; cancer is a side effect risk.
6,RT @maartsen: @ExpressScripts Accredo have confirmed two(!) orders for Humira for $26
7,@Alyssa_Milano I was going to congratulate you on the new Humira ad
8,@TheFive COMMERCIAL HUMOR ALERT: if #Humira causes #AlergicReactions do they supply #EpiPen  #LearnToListenToTryce lol
9,@ExpressScripts Accredo have confirmed two(!) orders for Humira for $26
10,Hate humira hate my boyfriend and horse is lame can this week possibly get any better
11,RT @yonewt: Do not take HUMIRA® if you have:
12,RT @accppediprn: The efficacy of #adalimumab—a fully human anti-TNF alpha monoclonal antibody— was investigated for the treatment... https:…
13,Intravenous or subcutaneous infusion of drugs such as infliximab
14,Anyone on #Humira? How long did the sickness last? I've been on it 4 weeks and I'm very sick. #crohns #IBD #crohnsdisease #ulcerativecolitis
15,i gave myself a pep talk on the way home from work about me not being a lil b for my humira injection &amp; it isnt even here yet. <f0><U+009F><U+0099><U+0084><f0><U+009F><U+0098><U+0092>
16,@VP @kaysalem Get rid of Obamacare. But I love paying $400 a month just for bloodwork that I need get taking Humira… https://t.co/HpvuLey25S
17,I still have some Humira leftover from last year. Maybe I'd only get a week of relief out of July
18,@gwoman9810 Unfortunately if you wanna stop progression
19,Seeing commercials for Humira makes me so frustrated
20,THIS is going to be fun to watch play out!  https://t.co/rJfp6BTqmH
21,Humira and Enbrel are out due to another autoimmune disease. I love the commercials &lt;sarcasm&gt;.<f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+008E>
22,@Redwood_Copy Good luck! I've been Humira for almost 8 yrs. I wrote a blog article w/tips for administering the inj… https://t.co/r12BOKjkLM
23,Just gonna keep all this O- to myself for awhile. Can I donate if I get on Humira? I honestly have no idea. Should ask my dermatologist...
24,Humira is a biologic
25,@wowtneria I'm allergic to remicade and Humira stopped working for me :( i developed antibodies. Then they put me o… https://t.co/9tBqQi9GMp
26,@PowerLunch #Humira Most Advt. Most RX'ed causes cancers in Autoimmune #LUPUS #sjogrens
27,@DewDiligence why would MNTA settle with ABBV to delay launch of an interchangeable Humira FoB?  strictly $$$
28,#Humira arrived today
29,@djpain1 my buddies humira at kaiser is 8 grand a shot! he needs 1 a month! AT 18 my ins. tried to deny me cancer t… https://t.co/PtPAhHs0Fl
30,RT @HurtBlogger: Am I paying for that donut? HELL YES. But when you're celebrating the 80th birthday of the man who created your Humira
31,@chiragontwtr In corporate-speak
32,@Sasa2455 no
33,"@DewDiligence '2022' vs. ""AbbVie CEO: Humira Biosimilars Won’t Reach Market Until AT LEAST 2022"" .... quite a difference"
34,The efficacy of #adalimumab—a fully human anti-TNF alpha monoclonal antibody— was investigated for the treatment... https://t.co/t0gcSY7S7P
35,This ewe needs Humira!
36,RT @EdwardLoftus2: EMA recommends approval of Humira #biosimilar Imraldi @HealioGastro #adalimumab  https://t.co/2CcQYJ6y34
37,RT @bionewsservices: EMA Committee Urges Approval of Humira Biosimilar Imraldi to Treat IBDs https://t.co/JFPEoXMiD9 https://t.co/9kCnhItbb1
38,EMA recommends approval of Humira #biosimilar Imraldi https://t.co/y3QriqHBGb
39,@giabean Meant to ask you
40,@sparker58763 @ryan_crohnsguy Is the Smurf med Apriso? I take that and Humira. Apriso is time released mesalamine.
41,EMA Committee Urges Approval of Humira Biosimilar Imraldi to Treat IBDs. Read more &gt;&gt; https://t.co/h4duNHQNuH
42,@torielizabeth56 Steriods is just a bandaid for the problem Humira is treatment
43,[TECHNOTE] SCIEX vMethod Application for Quantitation of #Adalimumab in #RatPlasma https://t.co/nRg33W6vEM https://t.co/nWvzsZfNoA
44,@torielizabeth56 Told you try Humira it's been working slowly but surely
45,RT @tripdatabase: New2Trip: Multi-biomarker score measuring disease activity in rheumatoid arthritis patients tapering adalimumab or … http…
46,New2Trip: Multi-biomarker score measuring disease activity in rheumatoid arthritis patients tapering adalimumab or … https://t.co/fftOCGm3Pm
47,#Biosimilar Companies Chipping Away at Humira
48,RT @BiosimCenter: Kevzara earns European approval
49,I also did my humira shot without being a big baby (it also didn't hurt as much this time cause I iced my tummy beforehand)
50,@Goongela Yes!!! The humira is wonderful!!!
51,@DewDiligence 2020 launch? too bold a prediction given the massive patent estate (empire) of Humira. $TEVA did 8 CP… https://t.co/mnl1ImPSEe
52,@ryan_crohnsguy Ok. I just failed humira and am doing Entyvio. The stupid insurance company refused to cover remicade for some reason
53,@sparker58763 Humira failed me. Cimzia failed me. Also tried 6MP
54,Samsung Makes Play for Drug Market  With Cheaper Version of Blockbuster Humira 
55,Doing my biweekly injection of #Humira for #StillsDisease #ArthritisSucks https://t.co/4WeTs6btyu
56,RT @DewDiligence: Bold prediction: If $MNTA gets FDA interchangeable status4 Humira FoB
57,CEO says $MNTA has workaround2 $ABBV's Humira-formulation patents
58,Bold prediction: If $MNTA gets FDA interchangeable status4 Humira FoB
59,RT @yonewt: Do not take HUMIRA® if you have:
60,@sfdegraff @mizbergy It's weird that Humira is more expensive than Remicade in the US whereas it is the opposite he… https://t.co/pERYReSCMX
61,Two days before my next Humira jab and the disease is going utterly mental. So
62,$CHRS ph3 design vs $MNTA ph3 design for Humira FoBs:
63,Hate this humira making me feel like shit
64,REMEMBER whatever type of #HealthcareBill is passed the #FDA<f0><U+009F><U+0090><U+0080> DRUGS like https://t.co/EkUliTmXbT and https://t.co/RACgWUaLEN can #KILL You!
65,Kevzara earns European approval
66,"UBS:"" $ABBV Humira to grow double digits from $10.5B in 2016 to $13.5B in 2018;most of the growth to come from rheumatology and dermatology"""
67,RT @PsoriasisUK: NICE approves 3 biologic treatments (Humira
68,REMEMBER whatever type of #HealthcareBill is passed the #FDA DRUGS like https://t.co/EkUliTmXbT and https://t.co/1b7ZQbwZxu can #KILL You!!!
69,@Jamie7Keller I'm on a dose every two weeks (Humira). That combined with diet monitoring means no major flares since November.
70,RT @Pharmafocus: Potential blockbuster #RheumatoidArthritis treatment enters European market to Humira's dominance: https://t.co/oeSDKAYLQ8…
71,Potential blockbuster #RheumatoidArthritis treatment enters European market to Humira's dominance: https://t.co/oeSDKAYLQ8 #Pharma
72,Worst Crohn's day in quite awhile. 2 more days until next humira shot. Sigh.
73,NICE approves 3 biologic treatments (Humira
74,Who me? I'm just enjoying this Humira before big government takes it away from me so big government doesn't have a hand in my healthcare.
75,RT @yonewt: Do not take HUMIRA® if you have:
76,RT @yonewt: Do not take HUMIRA® if you have:
77,RT @yonewt: Do not take HUMIRA® if you have:
78,EMA recommends approval of #Humira #biosimilar #Imraldi https://t.co/v1ZCYWN9kH @Pharma_BR #SamsungBioepis #adalimumab #psoriasis #arthritis
79,New potential blockbuster RA treatment enters European market
80,RT @yonewt: Do not take HUMIRA® if you have:
81,RT @yonewt: Do not take HUMIRA® if you have:
82,#PharmBusReview  European Medicines Agency recommends approval of Humira biosimilar https://t.co/wSfbbuP2eb
83,Humira facing building pressure in EU as Samsung
84,RT @Innoplexus: Promising step in rheumatoid arthritis: BI-695501 demonstrated clinical equivalence to Adalimumab @Boehringer @Amgen https:…
85,#biologicals AET BioTech and BioXpress Therapeutics to CoDevelop Biosimilar Adalimumab https://t.co/JXjNZyI15p
86,@Communism_Kills @peacelovedixie Humira is.  I know of one MS med (Aubagio) that is approx $6000/month
87,@DrMom25MA @peacelovedixie Humira is a shot though iirc.
88,@Communism_Kills @peacelovedixie Other classes of super-expensive drugs: (1) immunomodulators/biologics (Humira
89,The easy-to-grip size &amp; shape of @abbvie HUMIRA® Pen offers improved #EaseOfUse for ppl w/#arthritis. https://t.co/Xeii48Oqpj
90,European Medicines Agency recommends approval of Humira biosimilar Imraldi - Pharmaceutical Business Review https://t.co/bIX1YtbvF3
91,Well off to the doctor today not getting any hopes up
92,RT @HurtBlogger: Am I paying for that donut? HELL YES. But when you're celebrating the 80th birthday of the man who created your Humira
93,Fidget spinner - Exclusive Humira edition! <f0><U+009F><U+0098><U+0085> https://t.co/dLWp7kEtC9
94,@ChrisCuomo Excellent point about the cost of prescription drugs why not tackle that first? Affects everyone I take… https://t.co/5qPRfHdemx
95,#Humira facing building pressure in EU as @Samsung &amp; @Biogen get nod for biosimilar https://t.co/pdSasRE0qw #clinicaltrials #Pharmaceutical
96,European Medicines Agency recommends approval of Humira biosimilar Imraldi https://t.co/oyYYJkMTEc via @Pharma_BR
97,RT @RealGabbyHayes: I don't want to hear about HUMIRA.
98,Psoriasis had taken over my body before I was prescribed Humira. Fortnightly injection - 2 x 40 mg pre-filled... https://t.co/KOzFchm8nR
99,RT @WSJ: Samsung is on track to win European regulatory approval for a version of blockbuster drug Humira https://t.co/5GYDc2JZEV
100,@mizbergy Remicade was my first. Also tried Humira
101,RT @innaroz: FYI
102,FYI
103,Linda Gets Off Humira with the Paddison Program for RA: https://t.co/86ay5eEWF2 via @YouTube
104,"@VP How does the fact that my son has Crohn's disease and depends on Humira - $4K/month - fit into your ""personal r… https://t.co/Cz10zT25G7"
105,Why is my side effect headaches from my Humira worse than my usual headaches. I rather go back to having swelling as a side effect<f0><U+009F><U+0098><U+0092><f0><U+009F><U+0098><U+0092>
106,@ai_valentin I take humira. I must call every month to order it and answer the same 5 questions
107,@mrjamesob I have #Crohns
108,Adalimumab-Responsive Refractory Sarcoidosis Following Multiple Eyebrow Tattoos: A Case Report. https://t.co/PxVGG6odjR
109,Congratulations to the very talented ROBERT S. MARTIN III (swimmer) in the latest HUMIRA spot! https://t.co/eVNZzodjv8
110,@XiidraUs $575 for 30day supply. Each vial has 4 DROPS. That's insanity. I thought Humira was outrageous/2tbsp= $3k… https://t.co/jayZKhf2UW
111,RT @Joe_A_Blevins: First Humira ad: 16 minutes in. #svengoolie
112,First Humira ad: 16 minutes in. #svengoolie
113,New2Trip: Adalimumab (Humira) - treatment of active moderate to severe hidradenitis suppurativa (HS) (acne inversa) https://t.co/wbZyFdcKRw
114,RT @yonewt: Do not take HUMIRA® if you have:
115,RT @yonewt: Do not take HUMIRA® if you have:
116,RT @yonewt: Do not take HUMIRA® if you have:
117,RT @caring_for_us: 3) Let's take a more concrete example. The starter kit for humira
118,3) Let's take a more concrete example. The starter kit for humira
119,Humira update - hopeandhs: I’ve had two doses of humira so far. I haven’t seen much of a difference. I do... https://t.co/RUM5T1MjgQ
120,I have learned from TV commercials that Humira cures everything.
121,@TomNamako Ironically
122,@DoubleEph @OwoichoEne @temite According to that comparison in 2015
123,Brazilian plant to make Humira biosimilar in 'tobacco-based bioreactors' https://t.co/WrYO0I9f5Z
124,RT @yonewt: Do not take HUMIRA® if you have:
125,RT @yonewt: Do not take HUMIRA® if you have:
126,RT @yonewt: Do not take HUMIRA® if you have:
127,Today I got a direct email marketing flyer about Humira. I can barely afford pills right now. Let's talk about $8K/dose infusions.
128,RT @yonewt: Do not take HUMIRA® if you have:
129,RT @yonewt: Do not take HUMIRA® if you have:
130,RT @yonewt: Do not take HUMIRA® if you have:
131,RT @yonewt: Do not take HUMIRA® if you have:
132,RT @yonewt: Do not take HUMIRA® if you have:
133,RT @yonewt: Do not take HUMIRA® if you have:
134,@LeeTonks One more. Ask a neighbor. Lie to them about what it is. Say it's insulin or say it's a Humira shot or an Epi Pen or something.
135,Sunday
136,RT @yonewt: Do not take HUMIRA® if you have:
137,RT @yonewt: Do not take HUMIRA® if you have:
138,RT @romanessh: AbbVie Profit Tops Estimates and Sees Higher Humira Sales by 2020
139,For those taking Humira; have you had an increase in blood pressure since you've been on this medication?  I have... https://t.co/SebaFhUXOu
140,RT @yonewt: Do not take HUMIRA® if you have:
141,i thought i was done with doctors for a while after i exited the humira trial but then i got a kidney stone and i just hate it all so much
142,@RepJackBergman Can you look at my kids and tell them I don't deserve to live because I cannot afford Humira? Born… https://t.co/R0U70qvQ4D
143,@RepJackBergman I have Crohn's disease. Discrimination for pre-existing conditions will kill me.  My Humira cost $9000.00/month. Kill me now
144,RT @EdwardLoftus2: EMA recommends approval of Humira #biosimilar Imraldi @HealioGastro #adalimumab  https://t.co/2CcQYJ6y34
145,Humira facing building pressure in EU as Samsung
146,#alzheimers #alzheimers EMA recommends approval of Humira biosimilar Imraldi: The European Medicines Agency has… https://t.co/zv3a2sxxeO
147,EU backs second biosimilar copy of Humira
148,"RT @juanfranrangel: ""CHMP Recommends Imraldi"
149,"RT @juanfranrangel: ""CHMP Recommends Imraldi"
150,"CHMP Recommends Imraldi, a Biosimilar to Humira #farmacoterapiay mbe #feedly https://t.co/HGtVSXrZys"
151,AbbVie's Eagerly Anticipated Followup to Humira Is Coming: What You Need to Know https://t.co/l1A7bhz9xW #potstock #marijuana
152,Abbvie's next blockbuster drug. https://t.co/OkXl9epBMa
153,EU backs second #biosimilar copy of Humira
154,EU backs second #biosimilar copy of Humira | #biosimilars PharmaLive https://t.co/h6DYTp6k37
155,Joint Venture to Open #Biosimilar Lab in Brazil | Goodwin - #mAbs #biosimilars #adalimumab JDSupra https://t.co/K9TzXSCPlV
156,CHMP Recommends Imraldi
157,Humira facing building pressure in EU as Samsung
158,EU backs second biosimilar copy of Humira
159,RT @FiercePharma: Humira facing building pressure in EU as Samsung
160,RT @WSJ: Samsung unit is closer to bringing lower-cost version of blockbuster drug Humira to European market https://t.co/tZQY5uw9Nn
161,RT @HealioGastro: EMA recommends approval of #Humira #biosimilar Imraldi. @EMA_News - https://t.co/9JWh3zn0SK
162,RT @yonewt: Do not take HUMIRA® if you have:
163,@yonewt Also
164,RT @yonewt: Do not take HUMIRA® if you have:
165,RT @yonewt: Do not take HUMIRA® if you have:
166,RT @yonewt: Do not take HUMIRA® if you have:
167,RT @yonewt: Do not take HUMIRA® if you have:
168,RT @EdwardLoftus2: EMA recommends approval of Humira #biosimilar Imraldi @HealioGastro #adalimumab  https://t.co/2CcQYJ6y34
169,RT @EdwardLoftus2: EMA recommends approval of Humira #biosimilar Imraldi @HealioGastro #adalimumab  https://t.co/2CcQYJ6y34
170,RT @neeth_sa: Axis to make Humira #biosimilar in tobacco plant-based bioreactors https://t.co/rQcOnfIk4S
171,EMA recommends approval of Humira #biosimilar Imraldi @HealioGastro #adalimumab  https://t.co/2CcQYJ6y34
172,Brazilian plant to make Humira biosimilar in 'tobacco-based bioreactors' https://t.co/nLALGiMsBf #bt #feedly
173,RT @yonewt: Do not take HUMIRA® if you have:
174,RT @yonewt: Do not take HUMIRA® if you have:
175,RT @yonewt: Do not take HUMIRA® if you have:
176,#Biosimilars EMA recommends approval of Humira biosimilar Imraldi: The European Medicines Agency has recommended… https://t.co/sybHrzntpU
177,Always remember that #Humira is made from actual humans.
178,http://t.co/NodtYsOSHW
179,RT @yonewt: Do not take HUMIRA® if you have:
180,EMA recommends approval of Humira biosimilar Imraldi - The European Medicines Agency has recommended the approv... https://t.co/ST0r9uLVdH
181,It's that day of the week! #Humira #InjectionDay #PsO #Psoriasis #FlauntYourFlares https://t.co/EfSC73BKXw
182,"RT Dermatology_bio ""#dermatology EMA recommends approval of Humira biosimilar Imraldi: The European Medicines Agen… https://t.co/3Qdmh2WAhy"""
183,#alzheimers #alzheimers EMA recommends approval of Humira biosimilar Imraldi: The European Medicines Agency has… https://t.co/D3nFZiq5vb
184,#dermatology EMA recommends approval of Humira biosimilar Imraldi: The European Medicines Agency has recommended… https://t.co/GfvJbaX5Ru
185,@michaelianblack Ask if they have the side effect of 4 hour erections
186,What You Need To Know About AbbVie's Much-Anticipated Follow Up To Humira https://t.co/HLaFNqKKR0
187,RT @yonewt: Do not take HUMIRA® if you have:
188,RT @yonewt: Do not take HUMIRA® if you have:
189,RT @AnnemarieVtW: AbbVie's Eagerly Anticipated Followup to #Humira Is Coming: What You Need to Know | #Biosimilars threat https://t.co/HdGh…
190,RT @JChengWSJ: Samsung's just won European regulatory approval for a copy of the world's best-selling drug
191,RT @JChengWSJ: Samsung's just won European regulatory approval for a copy of the world's best-selling drug
192,"Just saw a humira commercial and all I could think of was ""I'm Tyler and I have moderate to severe plaque psoriasis"" @CrankGameplays"
193,RT @yonewt: Do not take HUMIRA® if you have:
194,RT @yonewt: Do not take HUMIRA® if you have:
195,I have a sharps container
196,RT @FiercePharma: Humira facing building pressure in EU as Samsung
197,RT @BiosimilarsBio: #Biosimilars EMA committee gives Samsung Bioepis nod for Humira biosimilar Imraldi: The EMA has recommended the… https:…
198,RT @vijay_ivaturi: Let's welcome Samsung to the pharma race !
199,RT @JChengWSJ: Samsung's just won European regulatory approval for a copy of the world's best-selling drug
200,RT @yonewt: Do not take HUMIRA® if you have:
201,EU backs second biosimilar copy of Humira
202,Let's welcome Samsung to the pharma race !
203,Samsung's just won European regulatory approval for a copy of the world's best-selling drug
204,RT @yonewt: Do not take HUMIRA® if you have:
205,EU backs second biosimilar copy of Humira
206,EU backs second biosimilar copy of Humira
207,EU backs second biosimilar copy of Humira
208,EU backs second biosimilar copy of Humira
209,EU backs second biosimilar copy of Humira
210,RT @yonewt: Do not take HUMIRA® if you have:
211,RT @rafeeq_rm: A good read #IBD #Infliximab #adalimumab https://t.co/bo61xlHx26
212,EU backs second biosimilar copy of Humira
213,RT @FiercePharma: Humira facing building pressure in EU as Samsung
214,RT @BiosimilarsBio: #Biosimilars Boehringer Ingelheims adalimumab biosimilar equivalent to Humira: Germanybased biologicals specialist… htt…
215,Humira facing building pressure in EU as Samsung
216,RT @yonewt: Do not take HUMIRA® if you have:
217,RT @emiliomonteb: Effect of adalimumab on the work-related outcomes scores in patients with early #RheumatoidArthritis receiving MTX https:…
218,RT @yonewt: Do not take HUMIRA® if you have:
219,RT @yonewt: Do not take HUMIRA® if you have:
220,RT @B_Crawford: EMA Committee Issues Positive Opinion for Biogen’s Adalimumab Biosimilar Candidate https://t.co/nx6UwTeXsG via @Big_Molecule
221,RT @yonewt: Do not take HUMIRA® if you have:
222,A good read #IBD #Infliximab #adalimumab https://t.co/bo61xlHx26
223,RT @AnnemarieVtW: AbbVie's Eagerly Anticipated Followup to #Humira Is Coming: What You Need to Know | #Biosimilars threat https://t.co/HdGh…
224,#AbbVie is successfully developing a sequel to its best-selling #autoimmune drug
225,AbbVie's Eagerly Anticipated Followup to Humira Is Coming: What You Need to Know via Cafepharma ... https://t.co/jVItcgpJj6
226,RT @WSJ: Samsung unit is closer to bringing lower-cost version of blockbuster drug Humira to European market https://t.co/tZQY5uw9Nn
227,2017 Global and Regional Adalimumab Biosimilar Market Research Report Forecasts 2022 [Updated: 01011970] Prices... https://t.co/GAIhpw2ZrW
228,EMA Committee Issues Positive Opinion for Biogen’s Adalimumab Biosimilar Candidate https://t.co/4pgcxFMOul https://t.co/t8rVBn1F1T
